2009-09-21 11:48:08,718 | 线程:[4692] | 级别:INFO  | 对象:FastDFSService | 信息: FastDFS使用默认配置文件启动，默认配置文件路径为config/FastDFS.config!
2009-09-21 11:48:08,734 | 线程:[4692] | 级别:INFO  | 对象:ObjectPool`1 | 信息: 对象池已经创建，对象池长度为：100
2009-09-21 11:48:08,734 | 线程:[4692] | 级别:INFO  | 对象:ObjectPool`1 | 信息: 对象池已经创建，对象池长度为：100
2009-09-21 11:48:08,734 | 线程:[4692] | 级别:INFO  | 对象:FastDFSService | 信息: FastDFS客户端服务启动成功!
2009-09-21 11:48:08,734 | 线程:[4692] | 级别:INFO  | 对象:global_asax | 信息: 应用程序启动！
2009-09-21 11:48:11,312 | 线程:[4692] | 级别:INFO  | 对象:default_aspx | 信息: 上传文件的大小为：29280字节！
2009-09-21 11:48:11,328 | 线程:[4692] | 级别:INFO  | 对象:TrackerClient | 信息: 取得追踪器连接时可用连接数：100
2009-09-21 11:48:11,328 | 线程:[4692] | 级别:INFO  | 对象:ObjectPool`1 | 信息: 连接池状态：现在空闲对象长度为:99,忙碌对象长度为1.
2009-09-21 11:48:11,343 | 线程:[4692] | 级别:INFO  | 对象:ObjectPool`1 | 信息: 连接对象使用完毕，准备放回连接池！
2009-09-21 11:48:11,343 | 线程:[4692] | 级别:INFO  | 对象:ObjectPool`1 | 信息: 连接对象使用完毕，放回连接池！
2009-09-21 11:48:11,343 | 线程:[4692] | 级别:INFO  | 对象:ObjectPool`1 | 信息: 连接池状态：现在空闲对象长度为:99,忙碌对象长度为1.
2009-09-21 11:48:11,343 | 线程:[4692] | 级别:INFO  | 对象:TrackerClient | 信息: 取得存储器连接时可用连接数：99
2009-09-21 11:48:11,375 | 线程:[4692] | 级别:INFO  | 对象:ObjectPool`1 | 信息: 连接对象使用完毕，准备放回连接池！
2009-09-21 11:48:11,375 | 线程:[4692] | 级别:INFO  | 对象:ObjectPool`1 | 信息: 连接对象使用完毕，放回连接池！
2009-09-21 11:48:43,437 | 线程:[4692] | 级别:INFO  | 对象:default_aspx | 信息: 上传文件Id为：bdb84c45-9c35-4f35-8cb7-0dbb0e1b9e8a！路径为/200909/00/00/SsiowEq294IAAAAAAAByYHvLQxI3..jpg!
2009-09-21 11:48:43,718 | 线程:[4692] | 级别:INFO  | 对象:default_aspx | 信息: 上传文件的时间为：31.390625秒！
2009-09-21 11:54:13,687 | 线程:[5968] | 级别:INFO  | 对象:FastDFSService | 信息: 停止FastDFS客户端服务，并清除连接池!
2009-09-21 11:54:13,687 | 线程:[5968] | 级别:INFO  | 对象:global_asax | 信息: 关闭应用程序！
